EPA Region,State,Lake Name,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,HH Screening Value,Over HH SV?,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort order
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,0.37,,,ng/g,ppb,0.057,1.000,J,,,11
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,0.69,,,ng/g,ppb,0.104,1.000,J,,,12
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,0.23,,,ng/g,ppb,0.120,1.000,J,,,13
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,J B,"B, RNON","Blank Contamination, Result Reported as a Non-detect",1
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,,,ng/g,ppb,0.130,1.000,U,,,3
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,,,4
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,,,ng/g,ppb,0.120,1.000,U,,,5
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,U,,,7
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,33.00,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,,,ng/g,ppb,0.080,1.000,U,,,9
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorononanoate (PFNA),375-95-1,,,,ng/g,ppb,0.083,1.000,U,,,10
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorodecanoate (PFDA),335-76-2,0.36,,,ng/g,ppb,0.057,1.000,J,,,11
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,0.68,,,ng/g,ppb,0.104,1.000,J,,,12
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Perfluorododecanoate (PFDoA),307-55-1,,,,ng/g,ppb,0.120,1.000,U,,,13
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,U,"B, RNAF","Blank Contamination, Result Not Affected",1
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,,,ng/g,ppb,0.130,1.000,U,,,3
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,0.18,,,ng/g,ppb,0.071,1.000,J,,,4
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,0.93,,,ng/g,ppb,0.120,1.000,J,,,5
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,U,,,7
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,12.00,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,,,ng/g,ppb,0.080,1.000,U,LLBL,Low Labeled Compound Recovery,9
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,0.10,,,ng/g,ppb,0.083,1.000,J,,,10
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,0.32,,,ng/g,ppb,0.057,1.000,J,,,11
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,0.75,,,ng/g,ppb,0.104,1.000,J,,,12
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,0.41,,,ng/g,ppb,0.120,1.000,J,,,13
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,J B,"B, RNON","Blank Contamination, Result Reported as a Non-detect",1
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluoropentanoate (PFPeA),2706-90-3,0.47,,,ng/g,ppb,0.130,1.000,J,,,3
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,,,4
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorohexane sulfonate (PFHxS),355-46-4,0.12,,,ng/g,ppb,0.120,1.000,J,,,5
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,J B,"B, RNON","Blank Contamination, Result Reported as a Non-detect",7
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorooctanesulfonate (PFOS),1763-23-1,7.20,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorooctane sulfonamide (PFOSA),754-91-6,0.16,,,ng/g,ppb,0.080,1.000,J,LLBL,Low Labeled Compound Recovery,9
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorononanoate (PFNA),375-95-1,4.80,,,ng/g,ppb,0.083,1.000,,,,10
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorodecanoate (PFDA),335-76-2,2.80,,,ng/g,ppb,0.057,1.000,,,,11
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluoroundecanoate (PFUnA),2058-94-8,6.90,,,ng/g,ppb,0.104,1.000,,,,12
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Perfluorododecanoate (PFDoA),307-55-1,2.30,,,ng/g,ppb,0.120,1.000,,,,13
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,U,,,1
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,LLBL; LMSR,Low Labeled Compound Recovery; Low Matrix Spike Recovery,2
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,,,ng/g,ppb,0.130,1.000,U,LLBL,Low Labeled Compound Recovery,3
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,"B, RNAF; LLBL ","Blank Contamination, Result Not Affected; Low Labeled Compound Recovery",4
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,,,ng/g,ppb,0.120,1.000,U,LLBL,Low Labeled Compound Recovery,5
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,J B,"B, RNON","Blank Contamination, Result Reported as a Non-detect",7
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,2.40,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,LMSR,Low Matrix Spike Recovery,8
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,,,ng/g,ppb,0.080,1.000,U,LLBL,Low Labeled Compound Recovery,9
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,0.65,,,ng/g,ppb,0.083,1.000,J,,,10
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,0.47,,,ng/g,ppb,0.057,1.000,J,,,11
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,1.00,,,ng/g,ppb,0.104,1.000,B,"B, RMAX","Blank Contamination, Result is a Maximum Value",12
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,0.28,,,ng/g,ppb,0.120,1.000,J,,,13
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,J B,"B, RNON","Blank Contamination, Result Reported as a Non-detect",1
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,,,ng/g,ppb,0.130,1.000,U,,,3
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,,,4
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,,,ng/g,ppb,0.120,1.000,U,,,5
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,U,,,7
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,5.90,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,,,ng/g,ppb,0.080,1.000,U,LLBL,Low Labeled Compound Recovery,9
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,0.92,,,ng/g,ppb,0.083,1.000,J,,,10
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,0.68,,,ng/g,ppb,0.057,1.000,J,,,11
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,1.70,,,ng/g,ppb,0.104,1.000,,,,12
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,,,,ng/g,ppb,0.120,1.000,U,,,13
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,0.63,,,ng/g,ppb,0.065,1.000,J B,"B, RMAX","Blank Contamination, Result is a Maximum Value",1
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,2.20,,,ng/g,ppb,0.130,1.000,,,,3
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,,,4
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,,,ng/g,ppb,0.120,1.000,U,,,5
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,J B,"B, RNON; LLBL","Blank Contamination, Result Reported as a Non-detect; Low Labeled Compound Recovery",7
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,16.00,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,0.22,,,ng/g,ppb,0.080,1.000,J,LLBL,Low Labeled Compound Recovery,9
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,0.68,,,ng/g,ppb,0.083,1.000,J,,,10
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,0.48,,,ng/g,ppb,0.057,1.000,J,,,11
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,1.30,,,ng/g,ppb,0.104,1.000,,,,12
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,0.36,,,ng/g,ppb,0.120,1.000,J,,,13
