Lake,State,SITEID,Latitude,Longitude,,,,,,
LakeErie,OH,NGL20_OH-10022,41.422845,-82.470374,,,,,,
LakeErie,OH,NGL20_OH-10023,41.994433,-80.541792,,,,,,
LakeErie,OH,NGL20_OH-10024,41.693706,-83.281403,,,,,,
LakeErie,OH,NGL20_OH-10025,41.773549,-81.262087,,,,,,
LakeErie,OH,NGL20_OH-10026,41.629780,-81.589718,,,,,,
LakeErie,PA,NGL20_PA-10001,42.216060,-79.908285,,,,,,
LakeErie,PA,NGL20_PA-10002,42.248563,-79.833229,,,,,,
LakeHuron,MI,NGL20_MI-10020,43.661172,-83.813745,,,,,,
LakeHuron,MI,NGL20_MI-10021,43.246154,-82.464205,,,,,,
LakeHuron,MI,NGL20_MI-10022,45.750362,-84.563951,,,,,,
LakeHuron,MI,NGL20_MI-10023,44.839345,-83.242500,,,,,,
LakeHuron,MI,NGL20_MI-10024,43.691878,-83.607161,,,,,,
LakeHuron,MI,NGL20_MI-10025,45.963069,-84.714304,,,,,,
LakeHuron,MI,NGL20_MI-10026,45.378104,-83.647971,,,,,,
LakeHuron,MI,NGL20_MI-10027,44.005051,-83.227579,,,,,,
LakeHuron,MI,NGL20_MI-10028,45.939652,-84.669392,,,,,,
LakeHuron,MI,NGL20_MI-10029,45.006597,-83.359057,,,,,,
LakeHuron,MI,NGL20_MI-10030,43.879908,-83.436643,,,,,,
LakeHuron,MI,NGL20_MI-10031,44.013500,-82.767393,,,,,,
LakeHuron,MI,NGL20_MI-10032,45.960709,-84.419150,,,,,,
LakeHuron,MI,NGL20_MI-10033,45.186507,-83.333887,,,,,,
LakeHuron,MI,NGL20_MI-10034,44.262727,-83.475720,,,,,,
LakeHuron,MI,NGL20_MI-10035,45.365339,-83.558984,,,,,,
LakeHuron,MI,NGL20_MI-10036,43.933393,-83.375104,,,,,,
LakeHuron,MI,NGL20_MI-10037,44.058141,-82.890460,,,,,,
LakeHuron,MI,NGL20_MI-10038,44.975283,-83.442236,,,,,,
LakeHuron,MI,NGL20_MI-10039,43.987738,-83.643622,,,,,,
LakeHuron,MI,NGL20_MI-10040,43.762320,-82.615251,,,,,,
LakeHuron,MI,NGL20_MI-10041,45.700899,-84.357468,,,,,,
LakeHuron,MI,NGL20_MI-10042,44.380129,-83.305156,,,,,,
LakeHuron,MI,NGL20_MI-10043,43.998848,-82.682268,,,,,,
LakeHuron,MI,NGL20_MI-10044,45.637261,-84.224843,,,,,,
LakeHuron,MI,NGL20_MI-10045,44.220559,-83.436314,,,,,,
LakeHuron,MI,NGL20_MI-10046,44.560749,-83.269783,,,,,,
LakeHuron,MI,NGL20_MI-10047,43.325180,-82.522957,,,,,,
LakeHuron,MI,NGL20_MI-10048,45.931044,-84.370602,,,,,,
LakeHuron,MI,NGL20_MI-10049,43.747200,-83.482180,,,,,,
LakeHuron,MI,NGL20_MI-10050,43.069218,-82.418883,,,,,,
LakeHuron,MI,NGL20_MI-10051,45.510818,-84.053375,,,,,,
LakeHuron,MI,NGL20_MI-10052,44.995087,-83.402484,,,,,,
LakeHuron,MI,NGL20_MI-10053,43.763117,-83.450645,,,,,,
LakeHuron,MI,NGL20_MI-10054,43.866042,-83.384851,,,,,,
LakeHuron,MI,NGL20_MI-10055,45.399225,-83.640746,,,,,,
LakeHuron,MI,NGL20_MI-10056,44.881911,-83.263937,,,,,,
LakeHuron,MI,NGL20_MI-10057,43.672811,-83.905286,,,,,,
LakeHuron,MI,NGL20_MI-10058,44.082561,-82.990724,,,,,,
LakeHuron,MI,NGL20_MI-10059,44.563966,-83.305080,,,,,,
LakeHuron,MI,NGL20_MI-10060,43.915173,-83.840608,,,,,,
LakeHuron,MI,NGL20_MI-10061,43.857134,-82.597289,,,,,,
LakeHuron,MI,NGL20_MI-10062,44.062607,-83.575569,,,,,,
LakeHuron,MI,NGL20_MI-10063,45.079141,-83.300411,,,,,,
LakeHuron,MI,NGL20_MI-10064,45.961854,-84.254088,,,,,,
LakeMichigan,IL,NGL20_IL-10001,42.141568,-87.745414,,,,,,
LakeMichigan,IN,NGL20_IN-10001,41.663612,-87.266719,,,,,,
LakeMichigan,IN,NGL20_IN-10002,41.626684,-87.268386,,,,,,
LakeMichigan,MI,NGL20_MI-10088,45.937953,-84.994048,,,,,,
LakeMichigan,MI,NGL20_MI-10089,45.769089,-86.742179,,,,,,
LakeMichigan,MI,NGL20_MI-10090,43.375394,-86.462772,,,,,,
LakeMichigan,MI,NGL20_MI-10091,45.000710,-85.477045,,,,,,
LakeMichigan,MI,NGL20_MI-10092,44.944033,-85.840715,,,,,,
LakeMichigan,MI,NGL20_MI-10093,44.396029,-86.308820,,,,,,
LakeMichigan,MI,NGL20_MI-10094,45.888090,-86.257438,,,,,,
LakeMichigan,MI,NGL20_MI-10095,43.918899,-86.457437,,,,,,
LakeMichigan,MI,NGL20_MI-10096,42.944195,-86.246774,,,,,,
LakeMichigan,MI,NGL20_MI-10097,45.797503,-84.792273,,,,,,
LakeMichigan,MI,NGL20_MI-10098,43.102397,-86.271767,,,,,,
LakeMichigan,MI,NGL20_MI-10099,45.934508,-85.719973,,,,,,
LakeMichigan,MI,NGL20_MI-10100,45.097762,-85.699194,,,,,,
LakeMichigan,MI,NGL20_MI-10101,44.312549,-86.299545,,,,,,
LakeMichigan,MI,NGL20_MI-10102,46.051344,-85.241341,,,,,,
LakeMichigan,MI,NGL20_MI-10103,44.678209,-86.261122,,,,,,
LakeMichigan,MI,NGL20_MI-10104,45.128687,-87.553117,,,,,,
LakeMichigan,MI,NGL20_MI-10105,45.772779,-86.809326,,,,,,
LakeMichigan,MI,NGL20_MI-10106,42.327680,-86.334775,,,,,,
LakeMichigan,MI,NGL20_MI-10107,46.023363,-85.195092,,,,,,
LakeMichigan,MI,NGL20_MI-10108,45.708931,-87.015603,,,,,,
LakeMichigan,MI,NGL20_MI-10109,45.107563,-85.596550,,,,,,
LakeMichigan,MI,NGL20_MI-10110,42.629003,-86.255722,,,,,,
LakeMichigan,MI,NGL20_MI-10111,45.667295,-86.518665,,,,,,
LakeMichigan,MI,NGL20_MI-10112,46.068962,-85.381571,,,,,,
LakeMichigan,MI,NGL20_MI-10113,45.590173,-87.221718,,,,,,
LakeMichigan,MI,NGL20_MI-10114,43.778261,-86.456345,,,,,,
LakeMichigan,MI,NGL20_MI-10115,41.884623,-86.630807,,,,,,
LakeMichigan,WI,NGL20_WI-10001,45.029147,-87.093383,,,,,,
LakeMichigan,WI,NGL20_WI-10002,42.614701,-87.810577,,,,,,
LakeMichigan,WI,NGL20_WI-10003,43.328918,-87.864071,,,,,,
LakeMichigan,WI,NGL20_WI-10004,44.948027,-87.698607,,,,,,
LakeMichigan,WI,NGL20_WI-10005,45.336088,-86.956190,,,,,,
LakeMichigan,WI,NGL20_WI-10006,43.719069,-87.657049,,,,,,
LakeMichigan,WI,NGL20_WI-10007,43.331739,-87.865814,,,,,,
LakeMichigan,WI,NGL20_WI-10008,44.513063,-87.479199,,,,,,
LakeMichigan,WI,NGL20_WI-10009,44.863781,-87.481783,,,,,,
LakeMichigan,WI,NGL20_WI-10010,44.132949,-87.500974,,,,,,
LakeMichigan,WI,NGL20_WI-10011,45.188723,-86.979138,,,,,,
LakeMichigan,WI,NGL20_WI-10012,43.653379,-87.685584,,,,,,
LakeMichigan,WI,NGL20_WI-10013,42.798074,-87.717127,,,,,,
LakeMichigan,WI,NGL20_WI-10014,44.621561,-87.961059,,,,,,
LakeOntario,NY,NGL20_NY-10032,43.968268,-76.115404,,,,,,
LakeOntario,NY,NGL20_NY-10033,43.913595,-76.183412,,,,,,
LakeOntario,NY,NGL20_NY-10034,43.358199,-78.702733,,,,,,
LakeOntario,NY,NGL20_NY-10035,43.337974,-77.673215,,,,,,
LakeOntario,NY,NGL20_NY-10036,43.506222,-76.487717,,,,,,
LakeOntario,NY,NGL20_NY-10037,43.912188,-76.284124,,,,,,
LakeOntario,NY,NGL20_NY-10038,43.311974,-78.888999,,,,,,
LakeOntario,NY,NGL20_NY-10039,43.254800,-77.488727,,,,,,
LakeOntario,NY,NGL20_NY-10040,43.587591,-76.250649,,,,,,
LakeOntario,NY,NGL20_NY-10041,44.075882,-76.376997,,,,,,
LakeOntario,NY,NGL20_NY-10042,43.381275,-78.085324,,,,,,
LakeOntario,NY,NGL20_NY-10043,43.431453,-76.627178,,,,,,
LakeOntario,NY,NGL20_NY-10044,43.803382,-76.251820,,,,,,
LakeOntario,NY,NGL20_NY-10045,44.005321,-76.185961,,,,,,
LakeOntario,NY,NGL20_NY-10046,43.361377,-77.930974,,,,,,
LakeOntario,NY,NGL20_NY-10047,43.319131,-76.879006,,,,,,
LakeOntario,NY,NGL20_NY-10048,43.334502,-78.808970,,,,,,
LakeOntario,NY,NGL20_NY-10049,43.256623,-77.569462,,,,,,
LakeOntario,NY,NGL20_NY-10050,43.470100,-76.579153,,,,,,
LakeOntario,NY,NGL20_NY-10051,43.380115,-78.595466,,,,,,
LakeOntario,NY,NGL20_NY-10052,43.294845,-77.351292,,,,,,
LakeOntario,NY,NGL20_NY-10053,43.684236,-76.239633,,,,,,
LakeOntario,NY,NGL20_NY-10054,43.313321,-78.918995,,,,,,
LakeOntario,NY,NGL20_NY-10055,43.985167,-76.060517,,,,,,
LakeOntario,NY,NGL20_NY-10056,43.822188,-76.317569,,,,,,
LakeOntario,NY,NGL20_NY-10057,43.340606,-77.703826,,,,,,
LakeOntario,NY,NGL20_NY-10058,43.331946,-78.852610,,,,,,
LakeOntario,NY,NGL20_NY-10059,43.684749,-76.220903,,,,,,
LakeOntario,NY,NGL20_NY-10060,43.972557,-76.335932,,,,,,
LakeOntario,NY,NGL20_NY-10061,43.288035,-77.553622,,,,,,
LakeOntario,NY,NGL20_NY-10062,43.373254,-78.324593,,,,,,
LakeOntario,NY,NGL20_NY-10063,43.546523,-76.314592,,,,,,
LakeOntario,NY,NGL20_NY-10064,44.144023,-76.327305,,,,,,
LakeOntario,NY,NGL20_NY-10065,43.516782,-76.433882,,,,,,
LakeOntario,NY,NGL20_NY-10066,43.330161,-78.766097,,,,,,
LakeOntario,NY,NGL20_NY-10067,43.913117,-76.242845,,,,,,
LakeOntario,NY,NGL20_NY-10068,43.278913,-77.545576,,,,,,
LakeOntario,NY,NGL20_NY-10069,43.332665,-76.863334,,,,,,
LakeOntario,NY,NGL20_NY-10070,43.794633,-76.246004,,,,,,
LakeOntario,NY,NGL20_NY-10071,43.986909,-76.206235,,,,,,
LakeOntario,NY,NGL20_NY-10072,43.436884,-76.619956,,,,,,
LakeOntario,NY,NGL20_NY-10073,43.387118,-77.986445,,,,,,
LakeOntario,NY,NGL20_NY-10074,43.347117,-77.755232,,,,,,
LakeOntario,NY,NGL20_NY-10075,44.059480,-76.369895,,,,,,
LakeOntario,NY,NGL20_NY-10076,43.298707,-77.100180,,,,,,
LakeSuperior,MI,NGL20_MI-10130,47.388639,-87.924763,,,,,,
LakeSuperior,MI,NGL20_MI-10131,46.532907,-87.389569,,,,,,
LakeSuperior,MI,NGL20_MI-10132,46.887188,-88.324722,,,,,,
LakeSuperior,MI,NGL20_MI-10133,47.283798,-88.517410,,,,,,
LakeSuperior,MI,NGL20_MI-10134,46.685295,-86.169696,,,,,,
LakeSuperior,MI,NGL20_MI-10135,46.924509,-87.843784,,,,,,
LakeSuperior,MI,NGL20_MI-10136,46.793415,-85.233590,,,,,,
LakeSuperior,MI,NGL20_MI-10137,47.042887,-88.981274,,,,,,
LakeSuperior,MI,NGL20_MI-10138,46.512006,-87.148603,,,,,,
LakeSuperior,MI,NGL20_MI-10139,46.589141,-85.020580,,,,,,
LakeSuperior,MI,NGL20_MI-10140,46.487506,-86.740911,,,,,,
LakeSuperior,MI,NGL20_MI-10141,46.720289,-85.762836,,,,,,
LakeSuperior,MI,NGL20_MI-10142,46.730769,-89.968199,,,,,,
LakeSuperior,MI,NGL20_MI-10143,46.846226,-89.573089,,,,,,
LakeSuperior,MI,NGL20_MI-10144,46.686942,-85.506656,,,,,,
LakeSuperior,MI,NGL20_MI-10145,46.582070,-90.406321,,,,,,
LakeSuperior,MI,NGL20_MI-10146,46.898957,-89.388481,,,,,,
LakeSuperior,MI,NGL20_MI-10147,46.708512,-85.708076,,,,,,
LakeSuperior,MI,NGL20_MI-10148,46.918146,-89.272481,,,,,,
LakeSuperior,MI,NGL20_MI-10149,47.393787,-87.701592,,,,,,
LakeSuperior,MI,NGL20_MI-10150,47.296755,-88.548888,,,,,,
LakeSuperior,MI,NGL20_MI-10151,46.508743,-87.146502,,,,,,
LakeSuperior,MI,NGL20_MI-10152,46.604595,-90.378582,,,,,,
LakeSuperior,MI,NGL20_MI-10153,46.839705,-88.262902,,,,,,
LakeSuperior,MI,NGL20_MI-10154,46.485322,-84.958745,,,,,,
LakeSuperior,MI,NGL20_MI-10155,46.689560,-86.114568,,,,,,
LakeSuperior,MI,NGL20_MI-10156,46.967084,-89.234385,,,,,,
LakeSuperior,MI,NGL20_MI-10157,46.876538,-87.730033,,,,,,
LakeSuperior,MI,NGL20_MI-10158,46.790886,-85.026494,,,,,,
LakeSuperior,MI,NGL20_MI-10159,47.259431,-88.643379,,,,,,
LakeSuperior,MI,NGL20_MI-10160,46.494254,-86.608618,,,,,,
LakeSuperior,MN,NGL20_MN-10001,47.141140,-91.450357,,,,,,
LakeSuperior,MN,NGL20_MN-10002,47.556276,-90.867735,,,,,,
LakeSuperior,MN,NGL20_MN-10003,46.790489,-92.044779,,,,,,
LakeSuperior,MN,NGL20_MN-10004,47.771646,-90.180874,,,,,,
LakeSuperior,MN,NGL20_MN-10005,47.480891,-90.983105,,,,,,
LakeSuperior,MN,NGL20_MN-10006,47.973099,-89.635062,,,,,,
LakeSuperior,MN,NGL20_MN-10007,46.793050,-89.635078,,,,,,
LakeSuperior,MN,NGL20_MN-10008,47.062637,-91.592607,,,,,,
LakeSuperior,MN,NGL20_MN-10009,47.727800,-90.426800,,,,,,
LakeSuperior,WI,NGL20_WI-10022,46.770510,-91.622243,,,,,,
LakeSuperior,WI,NGL20_WI-10023,46.672803,-90.816963,,,,,,
LakeSuperior,WI,NGL20_WI-10024,46.729253,-91.787980,,,,,,
LakeSuperior,WI,NGL20_WI-10025,46.680720,-90.632506,,,,,,
LakeSuperior,WI,NGL20_WI-10026,46.754410,-91.731229,,,,,,
LakeSuperior,WI,NGL20_WI-10027,46.666176,-90.692698,,,,,,
