EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Lipid (%),Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Order
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-15,2050-68-2,0.003580,ng/g,ppb,0.000132,0.000499,,,,14
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-16,38444-78-9,0.033500,ng/g,ppb,0.000166,0.000499,,,,15
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-17,37680-66-3,0.032200,ng/g,ppb,0.000072,0.000499,,,,16
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-18/PCB-30,,0.090200,ng/g,ppb,0.000167,0.000997,,,,17
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-19,38444-73-4,0.012300,ng/g,ppb,0.000145,0.000499,,,,18
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-20/PCB-28,,0.172000,ng/g,ppb,0.000227,0.000997,,,,19
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-21/PCB-33,,0.026400,ng/g,ppb,0.000202,0.000997,,,,20
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-22,38444-85-8,0.028600,ng/g,ppb,0.000109,0.000499,,,,21
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-23,55720-44-0,0.000207,ng/g,ppb,0.000101,0.000498,J,J,Estimated,22
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-24,55702-45-9,0.001250,ng/g,ppb,0.000128,0.000498,,,,23
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-25,55712-37-3,0.011700,ng/g,ppb,0.000086,0.000499,,,,24
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-26/PCB-29,,0.027500,ng/g,ppb,0.000198,0.000997,,,,25
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-27,38444-76-7,0.009830,ng/g,ppb,0.000093,0.000499,,,,26
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-31,16606-02-3,0.107000,ng/g,ppb,0.000142,0.000499,,,,27
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-32,38444-77-8,0.032900,ng/g,ppb,0.000076,0.000499,,,,28
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-34,37680-68-5,0.001040,ng/g,ppb,0.000115,0.000498,,,,29
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-35,37680-69-6,,ng/g,ppb,0.000156,0.000498,U,,,30
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-36,38444-87-0,0.000909,ng/g,ppb,0.000109,0.000499,,,,31
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-37,38444-90-5,0.007740,ng/g,ppb,0.000166,0.000499,,,,32
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-38,53555-66-1,0.000571,ng/g,ppb,0.000130,0.000498,,,,33
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-39,38444-88-1,0.000969,ng/g,ppb,0.000166,0.000499,,,,34
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-40/PCB-41/PCB-71,,0.149000,ng/g,ppb,0.000434,0.001500,,,,35
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-42,36559-22-5,0.074600,ng/g,ppb,0.000163,0.000499,,,,36
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-43,70362-46-8,0.020300,ng/g,ppb,0.000153,0.000499,,,,37
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-44/PCB-47/PCB-65,,0.397000,ng/g,ppb,0.000338,0.001500,B,"B, RNAF","Blank Contamination, Result is Not Affected",38
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-45/PCB-51,,0.051700,ng/g,ppb,0.000260,0.000997,,,,39
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-46,41464-47-5,0.015900,ng/g,ppb,0.000150,0.000499,,,,40
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-48,70362-47-9,0.025100,ng/g,ppb,0.000117,0.000499,,,,41
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-49/PCB-69,,0.315000,ng/g,ppb,0.000284,0.000997,,,,42
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-50/PCB-53,,0.041200,ng/g,ppb,0.000175,0.000997,,,,43
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-52,35693-99-3,0.643000,ng/g,ppb,0.000113,0.000499,,,,44
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-54,15968-05-5,0.000552,ng/g,ppb,0.000100,0.000498,,,,45
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-55,74338-24-2,0.001430,ng/g,ppb,0.000116,0.000499,,,,46
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-56,41464-43-1,0.046800,ng/g,ppb,0.000133,0.000499,,,,47
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-57,70424-67-8,0.002100,ng/g,ppb,0.000143,0.000499,,,,48
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-58,41464-49-7,0.000905,ng/g,ppb,0.000111,0.000499,,,,49
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-59/PCB-62/PCB-75,,0.040100,ng/g,ppb,0.000339,0.001500,,,,50
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-60,33025-41-1,0.101000,ng/g,ppb,0.000105,0.000499,,,,51
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-61/PCB-70/PCB-74/PCB-76,,0.484000,ng/g,ppb,0.000433,0.001990,,,,52
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-63,74472-34-7,0.027600,ng/g,ppb,0.000101,0.000499,,,,53
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-64,52663-58-8,0.243000,ng/g,ppb,0.000159,0.000499,,,,54
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-66,32598-10-0,0.419000,ng/g,ppb,0.000173,0.000499,,,,55
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-67,73575-53-8,0.003700,ng/g,ppb,0.000109,0.000499,,,,56
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-68,73575-52-7,0.004120,ng/g,ppb,0.000182,0.000499,,,,57
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-72,41464-42-0,0.006550,ng/g,ppb,0.000097,0.000499,,,,58
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-73,74338-23-1,,ng/g,ppb,0.000112,0.000498,U,,,59
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-77,32598-13-3,0.008150,ng/g,ppb,0.000260,0.000499,,,,60
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-78,70362-49-1,,ng/g,ppb,0.000189,0.000498,U,,,61
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-79,41464-48-6,0.002150,ng/g,ppb,0.000150,0.000498,,,,62
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-80,33284-52-5,,ng/g,ppb,0.000124,0.000498,U,,,63
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-81,70362-50-4,0.000868,ng/g,ppb,0.000201,0.000499,,,,64
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-82,52663-62-4,0.055000,ng/g,ppb,0.000160,0.000499,,,,65
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-83/PCB-99,,0.603000,ng/g,ppb,0.000211,0.000997,,,,66
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-84,52663-60-2,0.073800,ng/g,ppb,0.000155,0.000499,,,,67
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-85/PCB-116/PCB-117,,0.211000,ng/g,ppb,0.000350,0.001500,,,,68
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-86/PCB-87/PCB-97/PCB-109/PCB-119/PCB-125,,0.357000,ng/g,ppb,0.000589,0.002990,,,,69
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-88/PCB-91,,0.123000,ng/g,ppb,0.000240,0.000997,,,,70
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-89,73575-57-2,0.004940,ng/g,ppb,0.000103,0.000499,,,,71
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-90/PCB-101/PCB-113,,0.751000,ng/g,ppb,0.000304,0.001500,,,,72
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-92,52663-61-3,0.162000,ng/g,ppb,0.000108,0.000499,,,,73
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-93/PCB-98/PCB-100/PCB-102,,0.025600,ng/g,ppb,0.000442,0.001990,,,,74
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-94,73575-55-0,0.002640,ng/g,ppb,0.000143,0.000499,,,,75
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-95,38379-99-6,0.370000,ng/g,ppb,0.000117,0.000499,,,,76
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-96,73575-54-9,0.002820,ng/g,ppb,0.000122,0.000499,,,,77
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-103,60145-21-3,0.007340,ng/g,ppb,0.000113,0.000499,,,,78
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-104,56558-16-8,0.000129,ng/g,ppb,0.000097,0.000498,J,J,Estimated,79
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-105,32598-14-4,0.270000,ng/g,ppb,0.000186,0.000499,,,,80
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-106,70424-69-0,,ng/g,ppb,0.000319,0.000498,U,,,81
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-107,70424-68-9,0.069400,ng/g,ppb,0.000148,0.000499,,,,82
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-108/PCB-124,,0.012100,ng/g,ppb,0.000232,0.000997,,,,83
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-110/PCB-115,,0.807000,ng/g,ppb,0.000254,0.000997,,,,84
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-111,39635-32-0,0.001060,ng/g,ppb,0.000158,0.000499,,,,85
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-112,74472-36-9,,ng/g,ppb,0.000093,0.000498,U,,,86
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-114,74472-37-0,0.021600,ng/g,ppb,0.000161,0.000499,,,,87
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-118,31508-00-6,0.566000,ng/g,ppb,0.000190,0.000499,,,,88
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-120,68194-12-7,0.004430,ng/g,ppb,0.000123,0.000499,,,,89
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-121,56558-18-0,0.000399,ng/g,ppb,0.000126,0.000499,J,J,Estimated,90
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-122,76842-07-4,0.001600,ng/g,ppb,0.000115,0.000499,,,,91
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-123,65510-44-3,0.011700,ng/g,ppb,0.000135,0.000499,,,,92
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-126,57465-28-8,0.002210,ng/g,ppb,0.000296,0.000499,,,,93
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-127,39635-33-1,,ng/g,ppb,0.000222,0.000498,U,,,94
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-128/PCB-166,,0.154000,ng/g,ppb,0.000134,0.000997,,,,95
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-129/PCB-138/PCB-160/PCB-163,,1.080000,ng/g,ppb,0.000982,0.002000,,,,96
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-130,52663-66-8,0.081300,ng/g,ppb,0.000123,0.000499,,,,97
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-131,61798-70-7,0.002110,ng/g,ppb,0.000105,0.000499,,,,98
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-132,38380-05-1,0.203000,ng/g,ppb,0.000078,0.000499,,,,99
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-133,35694-04-3,0.026600,ng/g,ppb,0.000074,0.000499,,,,100
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-134/PCB-143,,0.037600,ng/g,ppb,0.000188,0.000997,,,,101
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-135/PCB-151,,0.264000,ng/g,ppb,0.000224,0.000997,,,,102
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-136,38411-22-2,0.048300,ng/g,ppb,0.000140,0.000499,,,,103
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-137,35694-06-5,0.038300,ng/g,ppb,0.000233,0.000498,,,,104
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-139/PCB-140,,0.017500,ng/g,ppb,0.000153,0.000997,,,,105
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-141,52712-04-6,0.159000,ng/g,ppb,0.000127,0.000499,,,,106
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-142,41411-61-4,,ng/g,ppb,0.000199,0.000498,U,,,107
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-144,68194-14-9,0.033200,ng/g,ppb,0.000103,0.000499,,,,108
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-145,74472-40-5,,ng/g,ppb,0.000118,0.000498,U,,,109
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-146,51908-16-8,0.237000,ng/g,ppb,0.000064,0.000499,,,,110
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-147/PCB-149,,0.602000,ng/g,ppb,0.000207,0.000999,,,,111
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-148,74472-41-6,0.002220,ng/g,ppb,0.000101,0.000499,,,,112
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-150,68194-08-1,0.001340,ng/g,ppb,0.000121,0.000499,,,,113
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-152,68194-09-2,0.000875,ng/g,ppb,0.000100,0.000499,,,,114
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-153/PCB-168,,1.000000,ng/g,ppb,0.000185,0.000998,B,"B, RNAF","Blank Contamination, Result is Not Affected",115
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-154,60145-22-4,0.015300,ng/g,ppb,0.000117,0.000499,,,,116
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-155,33979-03-2,0.000446,ng/g,ppb,0.000131,0.000499,J,J,Estimated,117
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-156/PCB-157,,0.077700,ng/g,ppb,0.000413,0.000997,,,,118
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-158,74472-42-7,0.080000,ng/g,ppb,0.000087,0.000499,,,,119
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-159,39635-35-3,0.005890,ng/g,ppb,0.000131,0.000499,,,,120
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-161,74472-43-8,,ng/g,ppb,0.000109,0.000498,U,,,121
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-162,39635-34-2,0.005980,ng/g,ppb,0.000157,0.000499,,,,122
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-164,74472-45-0,0.057500,ng/g,ppb,0.000127,0.000498,,,,123
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-165,74472-46-1,0.003180,ng/g,ppb,0.000095,0.000499,,,,124
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-167,52663-72-6,0.025200,ng/g,ppb,0.000164,0.000499,,,,125
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-169,32774-16-6,0.001410,ng/g,ppb,0.000250,0.000499,,,,126
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-170,35065-30-6,0.227000,ng/g,ppb,0.000168,0.000498,,,,127
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-171/PCB-173,,0.081900,ng/g,ppb,0.000230,0.000997,,,,128
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-172,52663-74-8,0.055300,ng/g,ppb,0.000098,0.000499,,,,129
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-174,38411-25-5,0.183000,ng/g,ppb,0.000165,0.000499,,,,130
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-175,40186-70-7,0.014800,ng/g,ppb,0.000164,0.000499,,,,131
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-176,52663-65-7,0.024400,ng/g,ppb,0.000120,0.000499,,,,132
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-177,52663-70-4,0.183000,ng/g,ppb,0.000099,0.000498,,,,133
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-178,52663-67-9,0.095000,ng/g,ppb,0.000139,0.000499,,,,134
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-179,52663-64-6,0.117000,ng/g,ppb,0.000135,0.000499,,,,135
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-180/PCB-193,,0.601000,ng/g,ppb,0.000213,0.000999,,,,136
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-181,74472-47-2,0.002280,ng/g,ppb,0.000102,0.000499,,,,137
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-182,60145-23-5,,ng/g,ppb,0.000129,0.000499,U,,,138
