EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Species Name,Common Name,Family,Niche,Lipid (%),Analyte ,CAS Number,Amount,TEF,Congener TEQ,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Order
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,4,7,8-HxCDF",70648-26-9,,0.1000,0.0000000,pg/g,ppt,0.0292,0.40,U,,,11
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,6,7,8-HxCDF",57117-44-9,0.029,0.1000,0.0029000,pg/g,ppt,0.0188,0.40,J,J,Estimated,12
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,7,8,9-HxCDF",72918-21-9,,0.1000,0.0000000,pg/g,ppt,0.0240,0.40,U,,,13
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"2,3,4,6,7,8-HxCDF",60851-34-5,0.029,0.1000,0.0029000,pg/g,ppt,0.0252,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",14
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,4,6,7,8-HpCDF",67562-39-4,0.034,0.0100,0.0003400,pg/g,ppt,0.0204,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",15
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,4,7,8,9-HpCDF",55673-89-7,0.032,0.0100,0.0003200,pg/g,ppt,0.0208,0.40,K J,"HIAR, J; J","High Ion Abundance Ratio, Estimated; Estimated",16
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,OCDF,39001-02-0,0.085,0.0003,0.0000255,pg/g,ppt,0.0639,0.80,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",17
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,Dioxin/furan TEQ,NA,0.113,,,pg/g,ppt,,,,,,18
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB TEQ,NA,0.294,,,pg/g,ppt,,,,,,19
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,Total TEQ,NA,0.407,,,pg/g,ppt,,,,,,20
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"2,3,7,8-TCDD",1746-01-6,0.588,1.0000,0.5880000,pg/g,ppt,0.0132,0.08,,,,1
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8-PeCDD",40321-76-4,1.150,1.0000,1.1500000,pg/g,ppt,0.0188,0.40,,,,2
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,7,8-HxCDD",39227-28-6,0.557,0.1000,0.0557000,pg/g,ppt,0.0192,0.40,K,"LIAR, J","Low Ion Abundance Ratio, Estimated",3
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,6,7,8-HxCDD",57653-85-7,1.040,0.1000,0.1040000,pg/g,ppt,0.0264,0.40,,,,4
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8,9-HxCDD",19408-74-3,0.215,0.1000,0.0215000,pg/g,ppt,0.0236,0.40,J,CONF; J,Result confirmed on method-specified second GC column; Estimated,5
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,6,7,8-HpCDD",35822-46-9,1.050,0.0100,0.0105000,pg/g,ppt,0.0200,0.40,,,,6
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,OCDD,3268-87-9,2.950,0.0003,0.0008850,pg/g,ppt,0.0559,0.80,,,,7
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"2,3,7,8-TCDF",51207-31-9,5.060,0.1000,0.5060000,pg/g,ppt,0.0112,0.08,,CONF,Result confirmed on method-specified second GC column,8
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8-PeCDF",57117-41-6,0.503,0.0300,0.0150900,pg/g,ppt,0.0212,0.40,,,,9
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"2,3,4,7,8-PeCDF",57117-31-4,1.600,0.3000,0.4800000,pg/g,ppt,0.0188,0.40,,,,10
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,7,8-HxCDF",70648-26-9,0.178,0.1000,0.0178000,pg/g,ppt,0.0292,0.40,J,J,Estimated,11
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,6,7,8-HxCDF",57117-44-9,0.115,0.1000,0.0115000,pg/g,ppt,0.0188,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",12
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8,9-HxCDF",72918-21-9,,0.1000,0.0000000,pg/g,ppt,0.0240,0.40,U,,,13
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"2,3,4,6,7,8-HxCDF",60851-34-5,0.096,0.1000,0.0096000,pg/g,ppt,0.0252,0.40,J,J,Estimated,14
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,6,7,8-HpCDF",67562-39-4,0.147,0.0100,0.0014700,pg/g,ppt,0.0204,0.40,K J,"HIAR, J; HLCS, J; J","High Ion Abundance Ratio, Estimated; High Lab Control Sample Recovery, Estimated; Estimated",15
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,7,8,9-HpCDF",55673-89-7,,0.0100,0.0000000,pg/g,ppt,0.0208,0.40,U,,,16
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,OCDF,39001-02-0,,0.0003,0.0000000,pg/g,ppt,0.0639,0.80,U,,,17
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,Dioxin/furan TEQ,NA,2.972,,,pg/g,ppt,,,,,,18
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,PCB TEQ,NA,7.566,,,pg/g,ppt,,,,,,19
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,5.30,Total TEQ,NA,10.538,,,pg/g,ppt,,,,,,20
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"2,3,7,8-TCDD",1746-01-6,0.535,1.0000,0.5350000,pg/g,ppt,0.0132,0.08,B,"B, RNAF","Blank Contamination, Result is Not Affected",1
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,7,8-PeCDD",40321-76-4,0.786,1.0000,0.7860000,pg/g,ppt,0.0188,0.40,,,,2
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,4,7,8-HxCDD",39227-28-6,0.169,0.1000,0.0169000,pg/g,ppt,0.0192,0.40,K J,"HIAR, J; J","High Ion Abundance Ratio, Estimated; Estimated",3
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,6,7,8-HxCDD",57653-85-7,0.469,0.1000,0.0469000,pg/g,ppt,0.0264,0.40,,,,4
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,7,8,9-HxCDD",19408-74-3,0.152,0.1000,0.0152000,pg/g,ppt,0.0236,0.40,J,CONF; J,Result confirmed on method-specified second GC column; Estimated,5
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,4,6,7,8-HpCDD",35822-46-9,0.686,0.0100,0.0068600,pg/g,ppt,0.0200,0.40,,,,6
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,OCDD,3268-87-9,2.410,0.0003,0.0007230,pg/g,ppt,0.0559,0.80,,,,7
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"2,3,7,8-TCDF",51207-31-9,3.530,0.1000,0.3530000,pg/g,ppt,0.0112,0.08,,CONF,Result confirmed on method-specified second GC column,8
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,7,8-PeCDF",57117-41-6,0.471,0.0300,0.0141300,pg/g,ppt,0.0212,0.40,K B,"B, RNAF; LIAR, J","Blank Contamination, Result is Not Affected; Low Ion Abundance Ratio, Estimated",9
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"2,3,4,7,8-PeCDF",57117-31-4,1.400,0.3000,0.4200000,pg/g,ppt,0.0188,0.40,,,,10
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,4,7,8-HxCDF",70648-26-9,0.222,0.1000,0.0222000,pg/g,ppt,0.0292,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",11
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,6,7,8-HxCDF",57117-44-9,0.179,0.1000,0.0179000,pg/g,ppt,0.0188,0.40,K B J,"B, RMAX; HIAR, J; J","Blank Contamination, Result is a Maximum Value; High Ion Abundance Ratio, Estimated; Estimated",12
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,7,8,9-HxCDF",72918-21-9,,0.1000,0.0000000,pg/g,ppt,0.0240,0.40,U,,,13
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"2,3,4,6,7,8-HxCDF",60851-34-5,0.105,0.1000,0.0105000,pg/g,ppt,0.0252,0.40,J,J,Estimated,14
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,4,6,7,8-HpCDF",67562-39-4,0.166,0.0100,0.0016600,pg/g,ppt,0.0204,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",15
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,"1,2,3,4,7,8,9-HpCDF",55673-89-7,,0.0100,0.0000000,pg/g,ppt,0.0208,0.40,U,,,16
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,OCDF,39001-02-0,,0.0003,0.0000000,pg/g,ppt,0.0639,0.80,U,,,17
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,Dioxin/furan TEQ,NA,2.247,,,pg/g,ppt,,,,,,18
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,PCB TEQ,NA,8.860,,,pg/g,ppt,,,,,,19
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,2.50,Total TEQ,NA,11.107,,,pg/g,ppt,,,,,,20
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"2,3,7,8-TCDD",1746-01-6,0.238,1.0000,0.2380000,pg/g,ppt,0.0132,0.08,,,,1
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,7,8-PeCDD",40321-76-4,0.221,1.0000,0.2210000,pg/g,ppt,0.0188,0.40,J,J,Estimated,2
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,4,7,8-HxCDD",39227-28-6,0.025,0.1000,0.0025000,pg/g,ppt,0.0192,0.40,J,J,Estimated,3
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,6,7,8-HxCDD",57653-85-7,0.123,0.1000,0.0123000,pg/g,ppt,0.0264,0.40,K J,"HIAR, J; J","High Ion Abundance Ratio, Estimated; Estimated",4
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,7,8,9-HxCDD",19408-74-3,0.033,0.1000,0.0033000,pg/g,ppt,0.0236,0.40,K J,"HIAR, J; J","High Ion Abundance Ratio, Estimated; Estimated",5
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,4,6,7,8-HpCDD",35822-46-9,0.095,0.0100,0.0009500,pg/g,ppt,0.0200,0.40,K J,"HIAR, J; J","High Ion Abundance Ratio, Estimated; Estimated",6
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,OCDD,3268-87-9,0.344,0.0003,0.0001032,pg/g,ppt,0.0559,0.80,J,J,Estimated,7
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"2,3,7,8-TCDF",51207-31-9,1.770,0.1000,0.1770000,pg/g,ppt,0.0112,0.08,,CONF,Result confirmed on method-specified second GC column,8
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,7,8-PeCDF",57117-41-6,0.142,0.0300,0.0042600,pg/g,ppt,0.0212,0.40,J,J,Estimated,9
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"2,3,4,7,8-PeCDF",57117-31-4,0.258,0.3000,0.0774000,pg/g,ppt,0.0188,0.40,J,J,Estimated,10
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,4,7,8-HxCDF",70648-26-9,,0.1000,0.0000000,pg/g,ppt,0.0292,0.40,U,,,11
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,6,7,8-HxCDF",57117-44-9,0.030,0.1000,0.0030000,pg/g,ppt,0.0188,0.40,J,J,Estimated,12
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,7,8,9-HxCDF",72918-21-9,,0.1000,0.0000000,pg/g,ppt,0.0240,0.40,U,,,13
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"2,3,4,6,7,8-HxCDF",60851-34-5,,0.1000,0.0000000,pg/g,ppt,0.0252,0.40,U,,,14
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,4,6,7,8-HpCDF",67562-39-4,0.024,0.0100,0.0002400,pg/g,ppt,0.0204,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",15
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,"1,2,3,4,7,8,9-HpCDF",55673-89-7,,0.0100,0.0000000,pg/g,ppt,0.0208,0.40,U,,,16
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,OCDF,39001-02-0,,0.0003,0.0000000,pg/g,ppt,0.0639,0.80,U,,,17
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,Dioxin/furan TEQ,NA,0.740,,,pg/g,ppt,,,,,,18
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,PCB TEQ,NA,2.706,,,pg/g,ppt,,,,,,19
5,MI,Lake Erie,GLNS15-2145,795654,,,,,,1.20,Total TEQ,NA,3.446,,,pg/g,ppt,,,,,,20
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"2,3,7,8-TCDD",1746-01-6,1.960,1.0000,1.9600000,pg/g,ppt,0.0132,0.08,,,,1
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,7,8-PeCDD",40321-76-4,2.510,1.0000,2.5100000,pg/g,ppt,0.0188,0.40,,,,2
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,4,7,8-HxCDD",39227-28-6,1.140,0.1000,0.1140000,pg/g,ppt,0.0192,0.40,,,,3
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,6,7,8-HxCDD",57653-85-7,3.730,0.1000,0.3730000,pg/g,ppt,0.0264,0.40,,,,4
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,7,8,9-HxCDD",19408-74-3,1.140,0.1000,0.1140000,pg/g,ppt,0.0236,0.40,,CONF; J,Result confirmed on method-specified second GC column; Estimated,5
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,4,6,7,8-HpCDD",35822-46-9,5.090,0.0100,0.0509000,pg/g,ppt,0.0200,0.40,,,,6
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,OCDD,3268-87-9,12.100,0.0003,0.0036300,pg/g,ppt,0.0559,0.80,,,,7
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"2,3,7,8-TCDF",51207-31-9,1.210,0.1000,0.1210000,pg/g,ppt,0.0112,0.08,,CONF,Result confirmed on method-specified second GC column,8
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,7,8-PeCDF",57117-41-6,0.544,0.0300,0.0163200,pg/g,ppt,0.0212,0.40,,,,9
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"2,3,4,7,8-PeCDF",57117-31-4,3.530,0.3000,1.0590000,pg/g,ppt,0.0188,0.40,,,,10
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,4,7,8-HxCDF",70648-26-9,0.278,0.1000,0.0278000,pg/g,ppt,0.0292,0.40,J,J,Estimated,11
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,6,7,8-HxCDF",57117-44-9,0.342,0.1000,0.0342000,pg/g,ppt,0.0188,0.40,J,J,Estimated,12
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,7,8,9-HxCDF",72918-21-9,0.030,0.1000,0.0030000,pg/g,ppt,0.0240,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",13
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"2,3,4,6,7,8-HxCDF",60851-34-5,0.494,0.1000,0.0494000,pg/g,ppt,0.0252,0.40,,,,14
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,4,6,7,8-HpCDF",67562-39-4,0.297,0.0100,0.0029700,pg/g,ppt,0.0204,0.40,J,J,Estimated,15
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,"1,2,3,4,7,8,9-HpCDF",55673-89-7,,0.0100,0.0000000,pg/g,ppt,0.0208,0.40,U,,,16
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,OCDF,39001-02-0,,0.0003,0.0000000,pg/g,ppt,0.0639,0.80,U,,,17
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,Dioxin/furan TEQ,NA,6.439,,,pg/g,ppt,,,,,,18
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,PCB TEQ,NA,27.169,,,pg/g,ppt,,,,,,19
5,MI,Lake Erie,GLNS15-2153,776434,,,,,,11.00,Total TEQ,NA,33.608,,,pg/g,ppt,,,,,,20
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"2,3,7,8-TCDD",1746-01-6,2.070,1.0000,2.0700000,pg/g,ppt,0.0132,0.08,,,,1
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8-PeCDD",40321-76-4,2.050,1.0000,2.0500000,pg/g,ppt,0.0188,0.40,,,,2
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,7,8-HxCDD",39227-28-6,0.690,0.1000,0.0690000,pg/g,ppt,0.0192,0.40,,,,3
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,6,7,8-HxCDD",57653-85-7,1.970,0.1000,0.1970000,pg/g,ppt,0.0264,0.40,,,,4
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8,9-HxCDD",19408-74-3,0.161,0.1000,0.0161000,pg/g,ppt,0.0236,0.40,J,CONF; J,Result confirmed on method-specified second GC column; Estimated,5
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,6,7,8-HpCDD",35822-46-9,1.410,0.0100,0.0141000,pg/g,ppt,0.0200,0.40,,,,6
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,OCDD,3268-87-9,0.873,0.0003,0.0002619,pg/g,ppt,0.0559,0.80,,,,7
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"2,3,7,8-TCDF",51207-31-9,28.600,0.1000,2.8600000,pg/g,ppt,0.0112,0.08,,CONF,Result confirmed on method-specified second GC column,8
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8-PeCDF",57117-41-6,4.350,0.0300,0.1305000,pg/g,ppt,0.0212,0.40,,,,9
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"2,3,4,7,8-PeCDF",57117-31-4,8.400,0.3000,2.5200000,pg/g,ppt,0.0188,0.40,,,,10
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,7,8-HxCDF",70648-26-9,1.150,0.1000,0.1150000,pg/g,ppt,0.0292,0.40,,,,11
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,6,7,8-HxCDF",57117-44-9,0.710,0.1000,0.0710000,pg/g,ppt,0.0188,0.40,,,,12
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,7,8,9-HxCDF",72918-21-9,,0.1000,0.0000000,pg/g,ppt,0.0240,0.40,U,,,13
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"2,3,4,6,7,8-HxCDF",60851-34-5,0.462,0.1000,0.0462000,pg/g,ppt,0.0252,0.40,,,,14
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,6,7,8-HpCDF",67562-39-4,0.713,0.0100,0.0071300,pg/g,ppt,0.0204,0.40,,HLCS; J,High Lab Control Sample Recovery; Estimated,15
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,"1,2,3,4,7,8,9-HpCDF",55673-89-7,0.022,0.0100,0.0002200,pg/g,ppt,0.0208,0.40,K J,"HIAR, J; J","High Ion Abundance Ratio, Estimated; Estimated",16
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,OCDF,39001-02-0,,0.0003,0.0000000,pg/g,ppt,0.0639,0.80,U,,,17
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,Dioxin/furan TEQ,NA,10.167,,,pg/g,ppt,,,,,,18
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,PCB TEQ,NA,10.612,,,pg/g,ppt,,,,,,19
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,5.30,Total TEQ,NA,20.779,,,pg/g,ppt,,,,,,20
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,11.00,"2,3,7,8-TCDD",1746-01-6,0.499,1.0000,0.4990000,pg/g,ppt,0.0132,0.08,,,,1
