EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,Lipid Number,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Oder
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Heneicosanoic acid,C21:0,2363-71-5,,ug/g,ppm,0.12,0.36,U,,,29
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Behenic acid,C22:0,112-85-6,7.70,ug/g,ppm,0.09,0.27,,,,30
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Erucic acid,C22:1n9,112-86-7,,ug/g,ppm,1.67,5.00,U,,,31
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Cetoleic acid,C22:1n11,1002-96-6,12.89,ug/g,ppm,2.49,7.47,NNR (C22:1n9),"NASA, J","No authentic standard available for calibration, result is estimated",32
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,"13,16-Docosadienoic acid",C22:2,7370-49-2,,ug/g,ppm,1.84,5.51,U,,,33
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Docosapentaenoic acid,C22:5n3,24880-45-3,376.18,ug/g,ppm,1.29,3.88,NNR (C22:6n3),"NASA, J","No authentic standard available for calibration, result is estimated",34
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Docosahexaenoic acid,C22:6n3,6217-54-5,1697.14,ug/g,ppm,2.49,7.47,,,,35
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Tricosanoic acid,C23:0,2433-96-7,,ug/g,ppm,0.15,0.44,U,,,36
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Lignoceric acid,C24:0,557-59-5,,ug/g,ppm,0.09,0.27,U,,,37
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Nervonic acid,C24:1n9,506-37-6 ,51.89,ug/g,ppm,0.63,1.89,,,,38
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Decanoic acid,C10:0,334-48-5,,ug/g,ppm,0.24,0.71,U,,,1
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Undecanoic acid,C11:0,112-37-8,,ug/g,ppm,0.24,0.71,U,,,2
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Dodecanoic acid,C12:0,143-07-7,,ug/g,ppm,0.44,1.32,U,,,3
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Tridecanoic acid,C13:0,638-53-9,12.37,ug/g,ppm,0.09,0.27,,,,4
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Myristic acid,C14:0,544-63-8,1552.47,ug/g,ppm,1.89,5.68,,,,5
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Myristoleic acid,C14:1,544-64-9,223.34,ug/g,ppm,0.18,0.54,,,,6
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Pentadecanoic acid,C15:0,1002-84-2,226.25,ug/g,ppm,0.36,1.09,,,,7
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,15.16,ug/g,ppm,0.09,0.27,,,,8
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Palmitic acid,C16:0,57-10-3,9335.12,ug/g,ppm,6.72,20.20,,,,9
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,7554.00,ug/g,ppm,7.14,21.40,,,,10
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Heptadecanoic acid,C17:0,506-12-7,380.22,ug/g,ppm,0.33,0.99,,"HSRM, J","High standard reference material recovery, result is estimated",11
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,ug/g,ppm,0.09,0.27,U,,,12
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Stearic acid,C18:0,57-11-4,1506.23,ug/g,ppm,0.69,2.08,,,,13
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Oleic acid,C18:1n9 cis,112-80-1,13638.04,ug/g,ppm,10.60,31.80,,,,14
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Elaidic acid,C18:1n9 trans,112-79-8,65.74,ug/g,ppm,0.30,0.89,,,,15
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,3521.76,ug/g,ppm,2.26,6.79,NNR (C18:1n9 cis),"NASA, J","No authentic standard available for calibration, result is estimated",16
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Linoleic acid,C18:2n6 cis,60-33-3,2250.27,ug/g,ppm,1.60,4.81,,,,17
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Linolelaidic acid,C18:2 trans,506-21-8,,ug/g,ppm,0.93,2.80,U,,,18
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Linolenic acid,C18:3n3,463-40-1,2146.25,ug/g,ppm,3.50,10.50,,,,19
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,212.07,ug/g,ppm,0.34,1.01,,,,20
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,665.54,ug/g,ppm,2.49,7.47,NNR (C20:1n9),"NASA, J","No authentic standard available for calibration, result is estimated",21
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Arachidic acid,C20:0,506-30-9,93.79,ug/g,ppm,0.09,0.27,,,,22
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Eicosenoic acid,C20:1n9,29204-02-2,597.98,ug/g,ppm,3.50,10.50,,,,23
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Eicosadienoic acid,C20:2,2091-39-6,338.50,ug/g,ppm,0.16,0.48,,,,24
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Eicosatrienoic acid,C20:3n3,2091-27-2,142.69,ug/g,ppm,2.04,6.13,,,,25
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,151.89,ug/g,ppm,0.32,0.96,,,,26
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Arachidonic acid,C20:4n6,506-32-1,3279.45,ug/g,ppm,0.14,0.41,,,,27
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Eicosapentaenoic acid,C20:5n3,10417-94-4,6028.73,ug/g,ppm,0.20,0.59,,,,28
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Heneicosanoic acid,C21:0,2363-71-5,20.73,ug/g,ppm,0.12,0.36,,,,29
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Behenic acid,C22:0,112-85-6,31.61,ug/g,ppm,0.09,0.27,,,,30
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Erucic acid,C22:1n9,112-86-7,52.79,ug/g,ppm,1.67,5.00,,,,31
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Cetoleic acid,C22:1n11,1002-96-6,,ug/g,ppm,2.49,7.47,U,,,32
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,"13,16-Docosadienoic acid",C22:2,7370-49-2,,ug/g,ppm,1.84,5.51,U,,,33
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Docosapentaenoic acid,C22:5n3,24880-45-3,877.74,ug/g,ppm,1.29,3.88,NNR (C22:6n3),"NASA, J","No authentic standard available for calibration, result is estimated",34
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Docosahexaenoic acid,C22:6n3,6217-54-5,1587.97,ug/g,ppm,2.49,7.47,,"HSRM, J","High standard reference material recovery, result is estimated",35
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Tricosanoic acid,C23:0,2433-96-7,388.96,ug/g,ppm,0.15,0.44,,,,36
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Lignoceric acid,C24:0,557-59-5,30.44,ug/g,ppm,0.09,0.27,,,,37
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Nervonic acid,C24:1n9,506-37-6 ,56.09,ug/g,ppm,0.63,1.89,,,,38
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Decanoic acid,C10:0,334-48-5,,ug/g,ppm,0.24,0.71,U,,,1
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Undecanoic acid,C11:0,112-37-8,,ug/g,ppm,0.24,0.71,U,,,2
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Dodecanoic acid,C12:0,143-07-7,,ug/g,ppm,0.44,1.32,U,,,3
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Tridecanoic acid,C13:0,638-53-9,7.51,ug/g,ppm,0.09,0.27,,,,4
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Myristic acid,C14:0,544-63-8,657.24,ug/g,ppm,1.89,5.68,,,,5
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Myristoleic acid,C14:1,544-64-9,71.93,ug/g,ppm,0.18,0.54,,,,6
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Pentadecanoic acid,C15:0,1002-84-2,116.03,ug/g,ppm,0.36,1.09,,,,7
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,ug/g,ppm,0.09,0.27,U,,,8
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Palmitic acid,C16:0,57-10-3,4708.88,ug/g,ppm,6.72,20.20,,,,9
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,3266.28,ug/g,ppm,7.14,21.40,,,,10
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Heptadecanoic acid,C17:0,506-12-7,159.61,ug/g,ppm,0.33,0.99,,,,11
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,ug/g,ppm,0.09,0.27,U,,,12
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Stearic acid,C18:0,57-11-4,951.02,ug/g,ppm,0.69,2.08,,,,13
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Oleic acid,C18:1n9 cis,112-80-1,4735.55,ug/g,ppm,10.60,31.80,,,,14
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Elaidic acid,C18:1n9 trans,112-79-8,25.36,ug/g,ppm,0.30,0.89,,,,15
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,1831.85,ug/g,ppm,2.26,6.79,NNR (C18:1n9 cis),"NASA, J","No authentic standard available for calibration, result is estimated",16
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Linoleic acid,C18:2n6 cis,60-33-3,715.76,ug/g,ppm,1.60,4.81,,,,17
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Linolelaidic acid,C18:2 trans,506-21-8,,ug/g,ppm,0.93,2.80,U,,,18
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Linolenic acid,C18:3n3,463-40-1,740.83,ug/g,ppm,3.50,10.50,,,,19
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,90.66,ug/g,ppm,0.34,1.01,,,,20
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,277.75,ug/g,ppm,2.49,7.47,NNR (C20:1n9),"NASA, J","No authentic standard available for calibration, result is estimated",21
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Arachidic acid,C20:0,506-30-9,54.73,ug/g,ppm,0.09,0.27,,,,22
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Eicosenoic acid,C20:1n9,29204-02-2,270.39,ug/g,ppm,3.50,10.50,,,,23
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Eicosadienoic acid,C20:2,2091-39-6,95.33,ug/g,ppm,0.16,0.48,,,,24
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Eicosatrienoic acid,C20:3n3,2091-27-2,,ug/g,ppm,2.04,6.13,U,,,25
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,45.99,ug/g,ppm,0.32,0.96,,,,26
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Arachidonic acid,C20:4n6,506-32-1,955.46,ug/g,ppm,0.14,0.41,,,,27
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Eicosapentaenoic acid,C20:5n3,10417-94-4,1779.38,ug/g,ppm,0.20,0.59,,,,28
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Heneicosanoic acid,C21:0,2363-71-5,18.07,ug/g,ppm,0.12,0.36,,,,29
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Behenic acid,C22:0,112-85-6,42.49,ug/g,ppm,0.09,0.27,,,,30
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Erucic acid,C22:1n9,112-86-7,22.88,ug/g,ppm,1.67,5.00,,,,31
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Cetoleic acid,C22:1n11,1002-96-6,,ug/g,ppm,2.49,7.47,U,,,32
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,"13,16-Docosadienoic acid",C22:2,7370-49-2,,ug/g,ppm,1.84,5.51,U,,,33
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Docosapentaenoic acid,C22:5n3,24880-45-3,393.92,ug/g,ppm,1.29,3.88,NNR (C22:6n3),"NASA, J","No authentic standard available for calibration, result is estimated",34
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Docosahexaenoic acid,C22:6n3,6217-54-5,1338.89,ug/g,ppm,2.49,7.47,,,,35
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Tricosanoic acid,C23:0,2433-96-7,127.98,ug/g,ppm,0.15,0.44,,,,36
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Lignoceric acid,C24:0,557-59-5,17.27,ug/g,ppm,0.09,0.27,,,,37
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Nervonic acid,C24:1n9,506-37-6 ,46.94,ug/g,ppm,0.63,1.89,,,,38
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Decanoic acid,C10:0,334-48-5,,ug/g,ppm,0.24,0.71,U,,,1
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Undecanoic acid,C11:0,112-37-8,,ug/g,ppm,0.24,0.71,U,,,2
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Dodecanoic acid,C12:0,143-07-7,,ug/g,ppm,0.44,1.32,U,,,3
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Tridecanoic acid,C13:0,638-53-9,,ug/g,ppm,0.09,0.27,U,,,4
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Myristic acid,C14:0,544-63-8,1411.65,ug/g,ppm,1.89,5.68,,,,5
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Myristoleic acid,C14:1,544-64-9,186.18,ug/g,ppm,0.18,0.54,,,,6
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Pentadecanoic acid,C15:0,1002-84-2,240.57,ug/g,ppm,0.36,1.09,,,,7
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,11.95,ug/g,ppm,0.09,0.27,,,,8
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Palmitic acid,C16:0,57-10-3,11872.79,ug/g,ppm,6.72,20.20,,,,9
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,6900.44,ug/g,ppm,7.14,21.40,,,,10
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Heptadecanoic acid,C17:0,506-12-7,369.77,ug/g,ppm,0.33,0.99,SF,,,11
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,ug/g,ppm,0.09,0.27,U,,,12
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Stearic acid,C18:0,57-11-4,1840.93,ug/g,ppm,0.69,2.08,,,,13
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Oleic acid,C18:1n9 cis,112-80-1,15181.73,ug/g,ppm,10.60,31.80,,,,14
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Elaidic acid,C18:1n9 trans,112-79-8,85.90,ug/g,ppm,0.30,0.89,,,,15
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,3440.36,ug/g,ppm,2.26,6.79,NNR (C18:1n9 cis),"NASA, J","No authentic standard available for calibration, result is estimated",16
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Linoleic acid,C18:2n6 cis,60-33-3,1680.80,ug/g,ppm,1.60,4.81,,,,17
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Linolelaidic acid,C18:2 trans,506-21-8,,ug/g,ppm,0.93,2.80,U,,,18
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Linolenic acid,C18:3n3,463-40-1,1316.17,ug/g,ppm,3.50,10.50,,,,19
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,189.22,ug/g,ppm,0.34,1.01,,,,20
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,429.33,ug/g,ppm,2.49,7.47,NNR (C20:1n9),"NASA, J","No authentic standard available for calibration, result is estimated",21
5,MI,Lake Huron,GLNS15-1197,795814,795814.4,Morone americana,White perch,Moronidae,P,Arachidic acid,C20:0,506-30-9,81.42,ug/g,ppm,0.09,0.27,,,,22
