EPA Region,State,Lake Name,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,% Lipids,Analyte,CAS Number,Amount,HH Screening Value,Over HH SV?,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort order
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-99,60348-60-9,1.84000,,,ng/g,ppb,0.003000,0.003375,,"B, RNAF","Blank Contamination, Result Not Affected",21
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-100,189084-64-8,2.04000,,,ng/g,ppb,0.000660,0.003375,,"B, RNAF","Blank Contamination, Result Not Affected",22
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-105,373594-78-6,,,,ng/g,ppb,0.000420,0.003375,U,,,23
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-116,189084-65-9,,,,ng/g,ppb,0.000750,0.003375,U,,,24
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-118,446254-80-4,0.05600,,,ng/g,ppb,0.000480,0.003375,,,,25
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-119/BDE-120,189084-66-0/417727-71-0,0.09360,,,ng/g,ppb,0.000611,0.006750,,,,26
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-126,366791-32-4,0.00054,,,ng/g,ppb,0.000260,0.003375,MJR,"LIAR, J","Low Ion Abundance Ratio, Estimated",27
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-128,NA,,,,ng/g,ppb,0.000870,0.004500,U,,,28
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-138/BDE-166,182677-30-1/189084-58-0,,,,ng/g,ppb,0.001330,0.009000,U,,,29
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-140,243982-83-4,0.00643,,,ng/g,ppb,0.000730,0.004500,M,,,30
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-153,68631-49-2,0.41400,,,ng/g,ppb,0.000390,0.004500,M,,,31
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-154,207122-15-4,0.89400,,,ng/g,ppb,0.000007,0.000045,M,,,32
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-155,35854-94-5,0.09620,,,ng/g,ppb,0.000470,0.004500,M,,,33
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-156,NA,,,,ng/g,ppb,0.000860,0.004500,U,,,34
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-181,189084-67-1,,,,ng/g,ppb,0.000570,0.005625,U,,,35
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-183,207122-16-5,0.00407,,,ng/g,ppb,0.000490,0.005625,J,J,Estimated,36
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-184,NA,0.00620,,,ng/g,ppb,0.000890,0.005625,R,"LIAR, J","Low Ion Abundance Ratio, Estimated",37
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-190,189084-68-2,,,,ng/g,ppb,0.000980,0.005625,U,,,38
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-191,NA,,,,ng/g,ppb,0.000840,0.005625,U,,,39
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-196,NA,,,,ng/g,ppb,0.000900,0.005625,U,,,40
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-197,NA,0.00269,,,ng/g,ppb,0.000380,0.005625,MJ,J,Estimated,41
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-203,337513-72-1,0.00034,,,ng/g,ppb,0.000320,0.005625,MJR,"HIAR, J","High Ion Abundance Ratio, Estimated",42
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-206,63387-28-0,,,,ng/g,ppb,0.001360,0.022500,U,,,43
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-207,437701-79-6,,,,ng/g,ppb,0.001560,0.022500,U,,,44
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-208,NA,,,,ng/g,ppb,0.001760,0.022500,U,,,45
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-209,1163-19-5,0.00620,,,ng/g,ppb,0.006060,0.022500,MJR,"HIAR, J","High Ion Abundance Ratio, Estimated",46
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,HBB,87-82-1,,,,ng/g,ppb,0.000810,0.002250,U,,,47
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,PBEB,85-22-3,,,,ng/g,ppb,0.000260,0.002250,U,,,48
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,Summed PBDEs (52),NA,11.13255,210,Does not exceed SV,ng/g,ppb,,,,,,49
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-7,171977-44-9,,,,ng/g,ppb,0.000460,0.002250,U,LLCS,Low LCS result,1
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-8/BDE-11,147217-71-8/6903-63-5,0.00087,,,ng/g,ppb,0.000470,0.004500,MJR,"HIAR, J","High Ion Abundance Ratio, Estimated",2
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-10,51930-04-2,,,,ng/g,ppb,0.000330,0.002250,U,LLCS,Low LCS result,3
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-12/BDE-13,189084-59-1/3694-71-7,0.00100,,,ng/g,ppb,0.000580,0.004500,MJR,"HIAR, J","High Ion Abundance Ratio, Estimated",4
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-15,2050-47-7,0.00484,,,ng/g,ppb,0.000120,0.002250,,,,5
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-17/BDE-25,147217-75-2/147217-77-4,0.00678,,,ng/g,ppb,0.000480,0.004500,M,,,6
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-28/BDE-33,41318-75-6/147217-78-5,0.20600,,,ng/g,ppb,0.000500,0.004500,,,,7
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-30,155999-95-4,0.02600,,,ng/g,ppb,0.000570,0.002250,R,"LIAR, J","Low Ion Abundance Ratio, Estimated",8
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-32,189084-60-4,0.00049,,,ng/g,ppb,0.000250,0.002250,MJR,"LIAR, J","Low Ion Abundance Ratio, Estimated",9
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-35,147217-80-9,0.00150,,,ng/g,ppb,0.000150,0.002250,MJR,"LIAR, J","Low Ion Abundance Ratio, Estimated",10
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-37,147217-81-0,0.00297,,,ng/g,ppb,0.000210,0.002250,M,,,11
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-47,5436-43-1,6.03000,,,ng/g,ppb,0.000960,0.002250,,"B, RNAF","Blank Contamination, Result Not Affected",12
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-49,243982-82-3,0.27700,,,ng/g,ppb,0.000290,0.002250,M,,,13
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-51,189084-57-9,0.01610,,,ng/g,ppb,0.000280,0.002250,M,"HRPD, J",,14
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-66,189084-61-5,0.15300,,,ng/g,ppb,0.000321,0.002250,M,,,15
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-71,147217-81-0,0.00816,,,ng/g,ppb,0.000240,0.002250,M,,,16
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-75,189084-63-7,0.01510,,,ng/g,ppb,0.000300,0.002250,M,,,17
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-77,93703-48-1,0.00972,,,ng/g,ppb,0.000270,0.002250,M,,,18
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-79,446254-48-4,0.04450,,,ng/g,ppb,0.000200,0.002250,M,,,19
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-85,182346-21-0,,,,ng/g,ppb,0.000550,0.003375,U,,,20
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-99,60348-60-9,2.10000,,,ng/g,ppb,0.003000,0.003375,,,,21
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-100,189084-64-8,1.82000,,,ng/g,ppb,0.000660,0.003375,,,,22
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-105,373594-78-6,,,,ng/g,ppb,0.000420,0.003375,U,,,23
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-116,189084-65-9,,,,ng/g,ppb,0.000750,0.003375,U,,,24
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-118,446254-80-4,0.05450,,,ng/g,ppb,0.000480,0.003375,M,,,25
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-119/BDE-120,189084-66-0/417727-71-0,0.07740,,,ng/g,ppb,0.000611,0.006750,M,,,26
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-126,366791-32-4,0.00092,,,ng/g,ppb,0.000260,0.003375,MJR,"HIAR, J","High Ion Abundance Ratio, Estimated",27
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-128,NA,,,,ng/g,ppb,0.000870,0.004500,U,"HRPD, RNAF","High RPD, Result Not Affected",28
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-138/BDE-166,182677-30-1/189084-58-0,,,,ng/g,ppb,0.001330,0.009000,U,,,29
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-140,243982-83-4,0.01680,,,ng/g,ppb,0.000730,0.004500,M,,,30
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-153,68631-49-2,0.40400,,,ng/g,ppb,0.000390,0.004500,M,,,31
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-154,207122-15-4,0.85800,,,ng/g,ppb,0.000007,0.000045,M,,,32
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-155,35854-94-5,0.06380,,,ng/g,ppb,0.000470,0.004500,M,,,33
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-156,NA,,,,ng/g,ppb,0.000860,0.004500,U,,,34
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-181,189084-67-1,0.00160,,,ng/g,ppb,0.000570,0.005625,MJR,"LIAR, J","Low Ion Abundance Ratio, Estimated",35
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-183,207122-16-5,0.01820,,,ng/g,ppb,0.000490,0.005625,M,,,36
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-184,NA,0.01230,,,ng/g,ppb,0.000890,0.005625,M,,,37
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-190,189084-68-2,,,,ng/g,ppb,0.000980,0.005625,U,,,38
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-191,NA,,,,ng/g,ppb,0.000840,0.005625,U,,,39
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-196,NA,0.00130,,,ng/g,ppb,0.000900,0.005625,MJR,"LIAR, J","Low Ion Abundance Ratio, Estimated",40
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-197,NA,0.00828,,,ng/g,ppb,0.000380,0.005625,M,,,41
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-203,337513-72-1,0.00366,,,ng/g,ppb,0.000320,0.005625,MJ,J,Estimated,42
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-206,63387-28-0,0.00254,,,ng/g,ppb,0.001360,0.022500,MJ,J,Estimated,43
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-207,437701-79-6,0.00492,,,ng/g,ppb,0.001560,0.022500,MJ,J,Estimated,44
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-208,NA,0.01160,,,ng/g,ppb,0.001760,0.022500,MJ,J,Estimated,45
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,BDE-209,1163-19-5,0.01700,,,ng/g,ppb,0.006060,0.022500,MJ,J,Estimated,46
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,HBB,87-82-1,,,,ng/g,ppb,0.000810,0.002250,U,,,47
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,PBEB,85-22-3,,,,ng/g,ppb,0.000260,0.002250,U,,,48
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.39,Summed PBDEs (52),NA,12.28085,210,Does not exceed SV,ng/g,ppb,,,,,,49
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-7,171977-44-9,,,,ng/g,ppb,0.000460,0.002250,U,,,1
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-8/BDE-11,147217-71-8/6903-63-5,0.00220,,,ng/g,ppb,0.000470,0.004500,MJ,J,Estimated,2
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-10,51930-04-2,,,,ng/g,ppb,0.000330,0.002250,U,,,3
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-12/BDE-13,189084-59-1/3694-71-7,0.00370,,,ng/g,ppb,0.000580,0.004500,MJR,"HIAR, J","High Ion Abundance Ratio, Estimated",4
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-15,2050-47-7,0.01440,,,ng/g,ppb,0.000120,0.002250,M,,,5
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-17/BDE-25,147217-75-2/147217-77-4,0.06020,,,ng/g,ppb,0.000480,0.004500,M,,,6
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-28/BDE-33,41318-75-6/147217-78-5,0.56100,,,ng/g,ppb,0.000500,0.004500,,,,7
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-30,155999-95-4,,,,ng/g,ppb,0.000570,0.002250,U,,,8
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-32,189084-60-4,,,,ng/g,ppb,0.000250,0.002250,U,,,9
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-35,147217-80-9,0.41000,,,ng/g,ppb,0.000150,0.002250,R,"LIAR, J","Low Ion Abundance Ratio, Estimated",10
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-37,147217-81-0,0.01110,,,ng/g,ppb,0.000210,0.002250,M,,,11
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-47,5436-43-1,11.60000,,,ng/g,ppb,0.000960,0.002250,,"B, RNAF","Blank Contamination, Result Not Affected",12
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-49,243982-82-3,2.40000,,,ng/g,ppb,0.000290,0.002250,,,,13
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-51,189084-57-9,0.07520,,,ng/g,ppb,0.000280,0.002250,M,,,14
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,1.58,BDE-66,189084-61-5,0.55700,,,ng/g,ppb,0.000321,0.002250,M,,,15
