EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,Lipid Number,CAS Number,Amount,Units,MDL,QL,Lab Flag,SCC Code,Comments,Sort Oder
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Arachidonic acid,C20:4n6,506-32-1,2226.23,µg/g,1.67,5.01,,"HSRM, J","High SRM recovery, result is estimated",27
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosapentaenoic acid,C20:5n3,10417-94-4,2551.15,µg/g,0.20,0.60,,"HSRM, J","High SRM recovery, result is estimated",28
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Heneicosanoic acid,C21:0,2363-71-5,24.39,µg/g,0.12,0.36,,,,29
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Behenic acid,C22:0,112-85-6,,µg/g,0.09,0.27,,,,30
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Erucic acid,C22:1n9,112-86-7,56.52,µg/g,0.14,0.42,,,,31
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Cetoleic acid,C22:1n11,1002-96-6,,µg/g,0.14,0.42,,,,32
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,"13,16-Docosadienoic acid",C22:2,7370-49-2,,µg/g,1.84,5.52,,,,33
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Docosapentaenoic acid,C22:5n3,24880-45-3,1304.54,µg/g,2.49,7.47,,"HSRM, J","High SRM recovery, result is estimated",34
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Docosahexaenoic acid,C22:6n3,6217-54-5,1353.58,µg/g,2.49,7.47,,"HSRM, J","High SRM recovery, result is estimated",35
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Tricosanoic acid,C23:0,2433-96-7,206.18,µg/g,0.15,0.45,,,,36
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Lignoceric acid,C24:0,557-59-5,,µg/g,0.09,0.27,,,,37
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Nervonic acid,C24:1n9,506-37-6 ,44.97,µg/g,0.63,1.89,,,,38
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Decanoic acid,C10:0,334-48-5,,µg/g,3.00,9.00,,,,1
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Undecanoic acid,C11:0,112-37-8,,µg/g,3.00,9.00,,,,2
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Dodecanoic acid,C12:0,143-07-7,,µg/g,3.00,9.00,MM,,,3
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Tridecanoic acid,C13:0,638-53-9,,µg/g,0.09,0.27,dd,,,4
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Myristic acid,C14:0,544-63-8,465.36,µg/g,1.89,5.67,bb,,,5
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Myristoleic acid,C14:1,544-64-9,37.99,µg/g,0.18,0.54,bb,,,6
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Pentadecanoic acid,C15:0,1002-84-2,66.48,µg/g,0.36,1.08,MM,,,7
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,µg/g,0.09,0.27,,,,8
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Palmitic acid,C16:0,57-10-3,3452.22,µg/g,6.72,20.16,bb,,,9
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,3347.75,µg/g,7.14,21.42,MM,,,10
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Heptadecanoic acid,C17:0,506-12-7,104.47,µg/g,0.33,0.99,bb,"HSRM, J","High SRM recovery, result is estimated",11
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,161.45,µg/g,0.09,0.27,MM,,,12
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Stearic acid,C18:0,57-11-4,693.29,µg/g,0.69,2.07,db,,,13
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Oleic acid,C18:1n9 cis,112-80-1,7422.04,µg/g,10.60,31.80,MM,,,14
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Elaidic acid,C18:1n9 trans,112-79-8,71.23,µg/g,0.30,0.90,MM,,,15
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,1134.91,µg/g,2.26,6.78,MM,,,16
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Linoleic acid,C18:2n6 cis,60-33-3,536.59,µg/g,1.60,4.80,bb,,,17
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Linolelaidic acid,C18:2 trans,506-21-8,617.32,µg/g,0.93,2.79,MM,,,18
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Linolenic acid,C18:3n3,463-40-1,332.4,µg/g,3.50,10.50,MM,,,19
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,33.24,µg/g,0.34,1.02,bb,,,20
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,,µg/g,3.50,10.50,bb,,,21
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Arachidic acid,C20:0,506-30-9,33.24,µg/g,0.09,0.27,MM,,,22
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Eicosenoic acid,C20:1n9,29204-02-2,,µg/g,3.50,10.50,MM,,,23
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Eicosadienoic acid,C20:2,2091-39-6,66.48,µg/g,0.16,0.48,MM,,,24
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Eicosatrienoic acid,C20:3n3,2091-27-2,,µg/g,2.04,6.12,MM-,,,25
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,42.74,µg/g,0.32,0.96,MM,,,26
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Arachidonic acid,C20:4n6,506-32-1,1267.87,µg/g,1.67,5.01,MM,,,27
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Eicosapentaenoic acid,C20:5n3,10417-94-4,517.6,µg/g,0.20,0.60,MM,,,28
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Heneicosanoic acid,C21:0,2363-71-5,14.25,µg/g,0.12,0.36,MM,,,29
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Behenic acid,C22:0,112-85-6,,µg/g,0.09,0.27,,,,30
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Erucic acid,C22:1n9,112-86-7,18.99,µg/g,0.14,0.42,MM,,,31
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Cetoleic acid,C22:1n11,1002-96-6,,µg/g,0.14,0.42,,,,32
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,"13,16-Docosadienoic acid",C22:2,7370-49-2,,µg/g,1.84,5.52,MM,,,33
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Docosapentaenoic acid,C22:5n3,24880-45-3,1210.89,µg/g,2.49,7.47,bb,,,34
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Docosahexaenoic acid,C22:6n3,6217-54-5,2203.34,µg/g,2.49,7.47,MM,,,35
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Tricosanoic acid,C23:0,2433-96-7,90.22,µg/g,0.15,0.45,MM,,,36
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Lignoceric acid,C24:0,557-59-5,23.74,µg/g,0.09,0.27,MM,,,37
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Nervonic acid,C24:1n9,506-37-6 ,341.9,µg/g,0.63,1.89,MM,,,38
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Decanoic acid,C10:0,334-48-5,,µg/g,3.00,9.00,,,,1
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Undecanoic acid,C11:0,112-37-8,,µg/g,3.00,9.00,,,,2
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Dodecanoic acid,C12:0,143-07-7,,µg/g,3.00,9.00,MM,,,3
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Tridecanoic acid,C13:0,638-53-9,,µg/g,0.09,0.27,bb,,,4
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Myristic acid,C14:0,544-63-8,1159.58,µg/g,1.89,5.67,bb,,,5
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Myristoleic acid,C14:1,544-64-9,118.49,µg/g,0.18,0.54,bb,,,6
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Pentadecanoic acid,C15:0,1002-84-2,193.35,µg/g,0.36,1.08,bb,,,7
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,µg/g,0.09,0.27,,,,8
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Palmitic acid,C16:0,57-10-3,11343.38,µg/g,6.72,20.16,MM,,,9
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,9769.16,µg/g,7.14,21.42,MM,,,10
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Heptadecanoic acid,C17:0,506-12-7,377.64,µg/g,0.33,0.99,bb,,,11
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,µg/g,0.09,0.27,,,,12
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Stearic acid,C18:0,57-11-4,1437.19,µg/g,0.69,2.07,dd,,,13
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Oleic acid,C18:1n9 cis,112-80-1,12599.33,µg/g,10.60,31.80,MM,,,14
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Elaidic acid,C18:1n9 trans,112-79-8,261.6,µg/g,0.30,0.90,MM,,,15
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,2764.69,µg/g,2.26,6.78,MM,,,16
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Linoleic acid,C18:2n6 cis,60-33-3,1200.94,µg/g,1.60,4.80,bb,,,17
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Linolelaidic acid,C18:2 trans,506-21-8,,µg/g,0.93,2.79,,,,18
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Linolenic acid,C18:3n3,463-40-1,879.73,µg/g,3.50,10.50,MM,,,19
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,81.37,µg/g,0.34,1.02,bb,,,20
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,313.47,µg/g,3.50,10.50,bd,,,21
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Arachidic acid,C20:0,506-30-9,61.98,µg/g,0.09,0.27,MM,,,22
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosenoic acid,C20:1n9,29204-02-2,894.6,µg/g,3.50,10.50,bb,"LSRM, J","Low SRM recovery, result is estimated",23
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosadienoic acid,C20:2,2091-39-6,156.51,µg/g,0.16,0.48,MM,"LSRM, J","Low SRM recovery, result is estimated",24
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosatrienoic acid,C20:3n3,2091-27-2,,µg/g,2.04,6.12,MM,,,25
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,85.89,µg/g,0.32,0.96,MM,,,26
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Arachidonic acid,C20:4n6,506-32-1,2142.36,µg/g,1.67,5.01,MM,,,27
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosapentaenoic acid,C20:5n3,10417-94-4,1692.31,µg/g,0.20,0.60,MM,,,28
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Heneicosanoic acid,C21:0,2363-71-5,17.44,µg/g,0.12,0.36,MM,,,29
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Behenic acid,C22:0,112-85-6,,µg/g,0.09,0.27,MM,,,30
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Erucic acid,C22:1n9,112-86-7,56.88,µg/g,0.14,0.42,MM,,,31
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Cetoleic acid,C22:1n11,1002-96-6,,µg/g,0.14,0.42,,,,32
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,"13,16-Docosadienoic acid",C22:2,7370-49-2,,µg/g,1.84,5.52,MM,,,33
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Docosapentaenoic acid,C22:5n3,24880-45-3,1614.2,µg/g,2.49,7.47,bb,,,34
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Docosahexaenoic acid,C22:6n3,6217-54-5,2261.55,µg/g,2.49,7.47,MM,,,35
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Tricosanoic acid,C23:0,2433-96-7,248.76,µg/g,0.15,0.45,MM,,,36
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Lignoceric acid,C24:0,557-59-5,24.61,µg/g,0.09,0.27,MM,,,37
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Nervonic acid,C24:1n9,506-37-6 ,39.93,µg/g,0.63,1.89,MM,,,38
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Decanoic acid,C10:0,334-48-5,,µg/g,3.00,9.00,,,,1
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Undecanoic acid,C11:0,112-37-8,,µg/g,3.00,9.00,,,,2
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Dodecanoic acid,C12:0,143-07-7,,µg/g,3.00,9.00,MM,,,3
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Tridecanoic acid,C13:0,638-53-9,,µg/g,0.09,0.27,dd,,,4
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Myristic acid,C14:0,544-63-8,570.66,µg/g,1.89,5.67,bb,,,5
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Myristoleic acid,C14:1,544-64-9,44.58,µg/g,0.18,0.54,bb,,,6
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Pentadecanoic acid,C15:0,1002-84-2,71.33,µg/g,0.36,1.08,bb,,,7
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,µg/g,0.09,0.27,,,,8
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Palmitic acid,C16:0,57-10-3,3892.07,µg/g,6.72,20.16,bb,,,9
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,3695.91,µg/g,7.14,21.42,MM,,,10
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Heptadecanoic acid,C17:0,506-12-7,93.62,µg/g,0.33,0.99,bb,"HSRM, J","High SRM recovery, result is estimated",11
